Date,Close,High,Low,Open,Volume
10/11/2023,182.6360016,183.7369995,182.4980011,182.6360016,0
10/12/2023,183.5339966,183.8000031,182.7619934,183.5339966,0
10/13/2023,182.4700012,182.8990021,181.5099945,182.4700012,0
10/16/2023,181.7599945,182.4799957,181.5399933,181.7599945,0
10/17/2023,182.6560059,182.7169952,181.7050018,182.6560059,0
10/18/2023,182.3600006,182.8040009,181.8739929,182.3600006,0
10/19/2023,181.7870026,182.1349945,181.1900024,181.7870026,0
10/20/2023,181.7680054,182.2839966,181.3200073,181.7680054,0
10/23/2023,182.2960052,183.2859955,182.0740051,182.2960052,0
10/24/2023,183.447998,183.7310028,182.2610016,183.447998,0
10/25/2023,182.2310028,182.4360046,181.6300049,182.2310028,0
10/26/2023,181.6499939,182.3500061,181.4219971,181.6499939,0
10/27/2023,182.4720001,182.4949951,181.548996,182.4720001,0
10/30/2023,181.3690033,181.8600006,180.7879944,181.3690033,0
10/31/2023,181.3829956,183.8200073,181.3399963,181.3439941,0
11/1/2023,183.8350067,183.9779968,183,183.8350067,0
11/2/2023,183.4069977,183.6790009,182.8099976,183.4069977,0
11/3/2023,183.4389954,184.7920074,183.2649994,183.4389954,0
11/6/2023,184.8939972,185.9450073,184.8800049,184.8939972,0
11/7/2023,185.1419983,185.4450073,184.6580048,185.1419983,0
11/8/2023,184.8390045,185.4940033,184.5529938,184.8390045,0
11/9/2023,185.3070068,185.8739929,185.1340027,185.3070068,0
11/10/2023,184.8670044,185.2100067,184.6519928,184.8670044,0
11/13/2023,185.2059937,185.9539948,185.2140045,185.2059937,0
11/14/2023,186.1999969,188.2830048,186.0890045,186.1999969,0
11/15/2023,187.9980011,188.223999,187.3439941,187.9980011,0
11/16/2023,187.8240051,187.8999939,186.8249969,187.8240051,0
11/17/2023,187.0749969,187.1410065,185.3300018,187.0749969,0
11/20/2023,186.7279968,186.7660065,184.6419983,186.7279968,0
11/21/2023,185.5679932,185.6190033,184.4799957,185.5679932,0
11/22/2023,185.8339996,187.0189972,185.7330017,185.8339996,0
11/23/2023,186.6629944,187.5749969,186.2839966,186.6629944,0
11/24/2023,187.5279999,188.6560059,187.0800018,187.5279999,0
11/27/2023,188.4490051,188.5130005,187.6000061,188.4490051,0
11/28/2023,187.5420074,187.8580017,187.0639954,187.5420074,0
11/29/2023,186.9299927,187.5050049,186.6450043,186.9299927,0
11/30/2023,186.6589966,187.5359955,186.2550049,186.6589966,0
12/1/2023,186.927002,187.4929962,186.2120056,186.927002,0
